,search_info,google_name,rating
41117321,"rb bar 537 EAST  183 STREET, NY",rb bar & restaurant,5
41117350,"popeyes louisiana kitchen 21710 HILLSIDE AVENUE, NY",popeyes louisiana kitchen,3.4
41117553,"epistrophy cafe 200 MOTT STREET, NY",epistrophy,4.1
41117663,"riviera 3448 STEINWAY STREET, NY",riviera gentleman's club,3.9
41117697,"wendy's 19 WEST  170 STREET, NY",wendy's,3.7
41117739,"cosmic diner 888 8 AVENUE, NY",cosmic diner,3.6
41117795,"havana central 151 WEST   46 STREET, NY",havana central times square,4.2
41117836,"samuel adams 0 LAGUARD AIRPORT, NY",laguardia airport,3.3
41117842,"go natural 0 LAGUARD AIRPORT, NY",laguardia airport,3.3
41117947,"golden krust caribbean bakery & grill 21873 HEMPSTEAD AVENUE, NY",golden krust caribben bakery & grill,4.3
41118090,"remi 145 WEST   53 STREET, NY",remi,4
41118091,"le pain quotidien 252 EAST   77 STREET, NY",le pain quotidien,3.4
41118126,"veggie castle 13209 LIBERTY AVENUE, NY",veggie castle ii,4.7
41118203,"national bakery 944 INTERVALE AVENUE, NY",national bakery nr corporation,5
41118227,"quizno's subs 21510 NORTHERN BOULEVARD, NY",quiznos,4.3
41118287,"la libertad restaurant 9619 LIBERTY AVENUE, NY",libertad restaurant,4.1
41118794,"taqueria cocoyoc 211 WYCKOFF AVENUE, NY",taqueria cocoyoc,3.7
41118839,"nobu fifty seven 40 WEST   57 STREET, NY",nobu fifty seven,4.4
41119140,"cibo express gourmet market 0 LAGUARDIA AIRPORT, NY",cibo express gourmet market,2
41119200,"pepper's caribbean restaurant and bar 4564 WHITE PLAINS ROAD, NY",rocatone,4
41119269,"royal india palace and restaurant 11808 ATLANTIC AVENUE, NY",royal india palace,2.5
41120276,"dukagjini burektore 758 LYDIG AVENUE, NY",dukagjini burek,4.8
41120682,"sant ambroeus 1000 MADISON AVENUE, NY",sant ambroeus,4.4
41120866,"la esquina ''the corner'' 106 KENMARE STREET, NY",la esquina,4.1
41120876,"stillwell soccer sports 1786 STILLWELL AVENUE, NY",SEARCH FAILURE,
41121169,"klassique 3813 BOSTON ROAD, NY",klassique bar & lounge + restaurant,4
41121595,"carvel ice cream 5759 BROADWAY, NY",carvel,4.1
41121747,"bz grill 2702 ASTORIA BOULEVARD, NY",bz grill,4.5
41122178,"port royal jamaican restaurant 11307 SUTPHIN BOULEVARD, NY",port royal restaurant & bakery,3.9
41122435,"jimbo's burger palace 535 LENOX AVENUE, NY",jimbo's hamburger palace,3.8
41122841,"landmark tavern 626 11 AVENUE, NY",landmark tavern,4.1
41122892,"trini breakfast shed ii 3209 CHURCH AVENUE, NY",trini breakfast shed,4.1
41123001,"sazon perez restaurant 417 SOUTH    4 STREET, NY",sazon perez,4.3
41123042,"friendly pizzeria 59 NASSAU STREET, NY",friendly gourmet pizza,4.2
41123415,"nurnberger bierhaus 817 CASTLETON AVENUE, NY",nürnberger bierhaus,4.4
41123423,"j and b pizzeria 2220 FOREST AVENUE, NY",j & b pizzeria restaurant,3.2
41123512,"subway 1351 FOREST AVENUE, NY",subway®restaurants,4.8
41123535,"taco king 7306 BELL BOULEVARD, NY",taco king,3.3
