Serial#,County,Type,Class,Premises Name,Address,Address2,City,State,Zip,
1291668,NEW,TW,344,M CLUB GYM LLC AND THE SQUEEZE INC ,550 W 54TH ST,,NEW YORK,NY,10019,
1026007,NEW,OP,903,M CORP,256 E 49TH STREET,,NEW YORK,NY,10017,
1026006,NEW,OP,252,M CORP,256 E 49TH CORP,,NEW YORK,NY,10017,
1172446,NEW,RW,341,M CULINARY CONCEPTS INC,211 EAST 14TH STREET,,NEW YORK,NY,10003,
1101688,NEW,OP,252,M D C M CORP,1370 YORK AVE,,NEW YORK,NY,10021,
1029850,NEW,RW,341,M D C M CORP,1370 YORK AVENUE,,NEW YORK,NY,10021,
1125348,NEW,ST,1,M D DELI FOOD CORP,144 NAGLE AVENUE,,NEW YORK,NY,10040,
1125347,NEW,A,122,M D DELI FOOD CORP,144 NAGLE AVENUE,,NEW YORK,NY,10040,
1029006,NEW,RW,341,M D H INDUSTRIES CORP,511 E 12TH STREET,,NEW YORK,NY,10009,
1029005,NEW,RW,341,M D H INDUSTRIES CORP,511 E 12TH STREET,,NEW YORK,NY,10009,
1020881,NEW,AX,122,M DELI II LLC,732 10TH AVE,,NEW YORK,NY,10019,
1021687,NEW,AX,122,M G J SUPERMARKET INC,3501 BROADWAY,,NEW YORK,NY,10031,
1026961,NEW,OP,252,M G N CAFE INC,119 E 60TH STREET,,NEW YORK,NY,10022,
1028644,NEW,RL,241,M G P RESTAURANT INC,4488 BROADWAY,,NEW YORK,NY,10040,
1125801,NEW,OP,901,"M G T ENTERPRISES, LLC",71 73 GANSEVOORT STREET,,NEW YORK,NY,10014,
1119088,NEW,OP,252,"M G T ENTERPRISES, LLC",71 73 GANSEVOORT STREET,,NEW YORK,NY,10014,
1163526,NEW,OP,252,M G V 1ST AVE INC,26 1ST AVE,,NEW YORK,NY,10009,
1260008,NEW,ST,1,M GOVERNARA CORP,1412 1ST AVE ,,NEW YORK,NY,10021,
1260007,NEW,AX,122,M GOVERNARA CORP,1412 1ST AVE ,,NEW YORK,NY,10021,
1108277,NEW,A,122,M H FRUIT CORP,200 PRINCE ST,,NEW YORK,NY,10012,
1108278,NEW,ST,1,M H FRUIT CORP,200 PRINCE ST,,NEW YORK,NY,10012,
1023209,NEW,EB,141,M I K ENTERPRISE INC,45 JOHN STREET,,NEW YORK,NY,10038,
1024123,NEW,OP,252,M J FRENZY LLC,107 NORFOLK ST,,NEW YORK,NY,10002,
1174421,NEW,OP,901,M J FRENZY LLC,107 NORFOLK ST,,NEW YORK,NY,10002,
1108514,NEW,L,222,M J K LIQUORS INC.,161 3RD AVENUE,,NEW YORK,NY,10003,
1155110,NEW,RW,341,M J M J D CORP,232 SEVENTH AVENUE,,NEW YORK,NY,10011,
1210098,NEW,OP,252,M J M REST CORP,254 W 31ST STREET,,NEW YORK,NY,10001,
1025837,NEW,OP,252,M J TAVERN INCORPORATED,405 3RD AVENUE,,NEW YORK,NY,10016,
1025109,NEW,OP,903,M K TRADING OF NEW YORK INC,316 BOWERY,,NEW YORK,NY,10012,
1025110,NEW,OP,252,M K TRADING OF NY INC,316 BOWERY,,NEW YORK,NY,10012,
1023124,NEW,EB,141,M L C RECREATION INC,163 E 86TH STREET 2ND FLOOR,,NEW YORK,NY,10028,
1165047,NEW,OP,252,M L V RESTAURANT LLC,219 E 44TH STREET,,NEW YORK,NY,10017,
1165048,NEW,ST,1,M L V RESTAURANT LLC,219 E 44TH STREET,,NEW YORK,NY,10017,
1178511,NEW,ST,2,M M AND D RESTAURANT CORP,2257 2259 2ND AVE,,NEW YORK,NY,10029,
1174488,NEW,ST,1,M M AND D RESTAURANT CORP,2257 2259 2ND AVE,,NEW YORK,NY,10029,
1174487,NEW,OP,252,M M AND D RESTAURANT CORP,2257 2259 2ND AVE,,NEW YORK,NY,10029,
1108978,NEW,OP,901,M M T CORP,274 3RD AVE,,NEW YORK,NY,10010,
1024761,NEW,OP,252,M M T CORP,274 3RD AVE ,,NEW YORK,NY,10010,
1173209,NEW,ST,1,M N H NEWSTAND CORP,454 9TH AVENUE,,NEW YORK,NY,10018,
1173208,NEW,A,122,M N H NEWSTAND CORP,454 9TH AVE,,NEW YORK,NY,10018,
1140021,NEW,AX,122,M P FOOD MARKET CORP,958 ST NICHOLAS AVENUE,,NEW YORK,NY,10032,
1140022,NEW,ST,1,M P FOOD MARKET CORP,958 ST NICHOLAS AVENUE,,NEW YORK,NY,10032,
1132701,NEW,OP,252,M P GEPPETTO INC,307 E 84TH ST,,NEW YORK,NY,10028,
1164002,NEW,OP,252,M P LIQUOR I INC,235 W BROADWAY AKA 2 WHITE ST,,NEW YORK,NY,10013,
1027453,NEW,OP,252,M P O RESTAURANT INC,2551 BROADWAY,,NEW YORK,NY,10025,
1018973,NEW,A,122,M R SUPERETTE GROCERIE INC,322 3RD AVENUE,,NEW YORK,NY,10009,
